"road_name","LAT","LNG"
"Rathdowne Street   Carlton   Melbourne",-37.7998868,144.9700191
"Hawke Street   West Melbourne   Melbourne",-37.8073087,144.9466327
"Adderley Street   West Melbourne   Melbourne",-37.8099477,144.9470727
"Drummond Street   CARLTON   Melbourne",-37.7997616,144.9686811
"Flinders Lane   Melbourne CBD   Melbourne",-37.8172026,144.9645094
"Little Bourke Street   Melbourne CBD   Melbourne",-37.8132486,144.9627367
"Little Collins Street   Melbourne CBD   Melbourne",-37.8152273,144.9636113
"Little Lonsdale Street   Melbourne CBD   Melbourne",-37.8112837,144.9618622
"Abbottsford Street   North Melbourne   Melbourne",-37.7989546,144.946182
"Rankins Road   Kensington   Melbourne",-37.7915335,144.9314879
"The Ridgeway   Kensington   Melbourne",-37.7941022,144.9260682
"Millswyn Street   South Yarra   Melbourne",-37.8358071,144.9803251
"Cardigan Street   Carlton   Melbourne",-37.8002992,144.9655707
"Lytton Street   Carlton   Melbourne",-37.7936553,144.9672963
"Gracie Street   North Melbourne   Melbourne",-37.7972545,144.9384877
"Carlton Street   Carlton   Melbourne",-37.8009696,144.9722654
"Macarthur Place South   Carlton   Melbourne",-37.7985436,144.9715348
"Wells Place   Southbank   Melbourne",-37.8300566,144.9685972
"Princess Park Drive   Carlton North   Melbourne",-37.7884248,144.9626966
"Macarthur Place North   Carlton   Melbourne",-37.7981891,144.9715897
"Bateman Road   Kensington   Melbourne",-37.7953506,144.918335
"Melrose Street   North Melbourne   Melbourne",-37.7931228,144.9421722
"Elizabeth Street   Melbourne CBD   Melbourne",-37.8089214,144.9606515
"Anderson Street   South Yarra   Melbourne",-37.831099,144.9843292
"Lloyd Street   Kensington   Melbourne",-37.799723,144.9343702
"Birdwood Avenue   South Yarra   Melbourne",-37.8338582,144.9825274
"Domain Street   South Yarra   Melbourne",-37.8351938,144.9785788
"Gatehouse Drive   Kensington   Melbourne",-37.7924842,144.919544
"Gatehouse Street   Parkville   Melbourne",-37.7941032,144.9543562
"Boundary Road   North Melbourne   Melbourne",-37.7925206,144.9393962
"Buncle Street   North Melbourne   Melbourne",-37.7927427,144.9406885
"Bourke Street   Docklands   Melbourne",-37.8187967,144.9472238
"Degraves Street   Parkville   Melbourne",-37.7936434,144.9572971
"Clowe Street   South Yarra   Melbourne",-37.8307286,144.9862771
"Kay Street   Carlton   Melbourne",-37.7951484,144.9730832
"Smith Street   Kensington   Melbourne",-37.7915401,144.9327958
"Wolseley Parade   Kensington   Melbourne",-37.7962339,144.9293916
"Hampden Road   Kensington   Melbourne",-37.795662,144.9293381
"Lambeth Street   Kensington   Melbourne",-37.7906732,144.934231
"Stubbs Street   Kensington   Melbourne",-37.7917813,144.9354869
"Kensington Road   Kensington   Melbourne",-37.7977503,144.9213953
"Bayswater Road   Kensington   Melbourne",-37.793542,144.923544
"Tennyson Street   Kensington   Melbourne",-37.7983688,144.9294145
"Collett Street   Kensington   Melbourne",-37.790814,144.9333495
"McConnell Street   Kensington   Melbourne",-37.7921614,144.9287872
"Shiel Street   North Melbourne   Melbourne",-37.7971159,144.943151
"Ireland Street   West Melbourne   Melbourne",-37.8071283,144.9440905
"Lt Lonsdale Street   Melbourne CBD   Melbourne",-37.8112837,144.9618622
"Grattan Street   Parkville   Melbourne",-37.7999717,144.9598567
"Flemington Road   Parkville   Melbourne",-37.7921869,144.945942
"Queensberry Street   North Melbourne   Melbourne",-37.8030369,144.9498821
"Victoria Street   North Melbourne   Melbourne",-37.806426,144.9607592
"Barnett Street   Kensington   Melbourne",-37.7925699,144.9321768
"Eastwood Street   Kensington   Melbourne",-37.7919523,144.9303949
"William Street   Melbourne CBD   Melbourne",-37.8137575,144.9573302
"King Street   Melbourne CBD   Melbourne",-37.8123135,144.9537885
"Exhibition Street   Melbourne CBD   Melbourne",-37.8130411,144.9710727
"O'Shannassy Street   North Melbourne   Melbourne",-37.7393179,144.9019979
"Docklands Drive   Docklands   Melbourne",-37.814468,144.9383478
"Wells St   Southbank   Melbourne",-37.8278055,144.9686318
"Wadey Street   Southbank   Melbourne",-37.8260961,144.9701232
"Henry Street   Kensington   Melbourne",-37.7951147,144.92748
"Rosslyn Street   West Melbourne   Melbourne",-37.8089605,144.9499301
"Park Drive   Parkville   Melbourne",-37.795184,144.9550427
"Morrah Street   Parkville   Melbourne",-37.7955196,144.954992
"Story Street   Parkville   Melbourne",-37.796771,144.955367
"Lothian Street   North Melbourne   Melbourne",-37.802446,144.9445777
"Kirrip Crescent   Parkville   Melbourne",-37.7784233,144.9400885
"Berkeley Street   Carlton   Melbourne",-37.8030369,144.9589793
"Little Palmerston Street   Carlton   Melbourne",-37.7965462,144.9694056
"Park Street   South Yarra   Melbourne",-37.8359479,144.982154
"Marne Street   South Yarra   Melbourne",-37.8361703,144.9839542
"Walsh Street   South Yarra   Melbourne",-37.8337267,144.9856438
"Bellair Street   Kensington   Melbourne",-37.7934221,144.9301455
"Gipps Street   East Melbourne   Melbourne",-37.8131215,144.987013
"Macaulay Road   Kensington   Melbourne",-37.7946058,144.9316156
"Gower Street   Kensington   Melbourne",-37.7956453,144.9280041
"Gordon Crescent   Kensington   Melbourne",-37.7910228,144.9271028
"Katherine Place   Melbourne CBD   Melbourne",-37.8200804,144.9565045
"Miller Street   West Melbourne   Melbourne",-37.8056391,144.944608
"Adderley Street   North Melbourne   Melbourne",-37.8099654,144.9470884
"Spencer Street   West Melbourne   Melbourne",-37.8086597,144.9489314
"Palmerston Street   Carlton   Melbourne",-37.7962516,144.9706615
"Neil Street   Carlton   Melbourne",-37.7939368,144.972731
"Arden Street   North Melbourne   Melbourne",-37.7991405,144.9415681
"Flinders Street   Melbourne CBD   Melbourne",-37.8190092,144.9622552
"Anderson Street   West Melbourne   Melbourne",-37.8052024,144.9418609
"Highlander Lane   Melbourne CBD   Melbourne",-37.8194848,144.957953
"The Avenue   Parkville   Melbourne",-37.7847698,144.9570239
"Levers Street   Parkville   Melbourne",0,0
"Anthony Street   Melbourne CBD   Melbourne",-37.8091882,144.9590714
"Epsom Road   Kensington   Melbourne",-37.7907834,144.9245199
"Harbour Esplanade   Docklands   Melbourne",-37.8171369,144.9458194
"Stubbs street   Kensington   Melbourne",-37.7917813,144.9354869
"Maxwell Lane   East Melbourne   Melbourne",-37.8169162,144.9795556
"Hope Street   South Yarra   Melbourne",-37.8354553,144.9794257
"McCrea Street   Docklands   Melbourne",-37.8221366,144.9496731
"Agnes Street   East Melbourne   Melbourne",-37.8174947,144.9799963
"Jolimont Street   East Melbourne   Melbourne",-37.8184625,144.9804356
"Jolimont Terrace   East Melbourne   Melbourne",-37.8177011,144.9819132
"Charles Street   East Melbourne   Melbourne",-37.8176296,144.9811838
"Abbotsford Street   West Melbourne   Melbourne",-37.8061922,144.944763
"Erskine Street   North Melbourne   Melbourne",-37.7947494,144.9442951
"Geographe Street   Docklands   Melbourne",-37.8201054,144.9454048
"Domain St   South Yarra   Melbourne",-37.8351938,144.9785788
"Haines Street   North Melbourne   Melbourne",-37.7985443,144.9466906
"Canning Street   North Melbourne   Melbourne",-37.7959257,144.942911
"Fogarty Street   North Melbourne   Melbourne",-37.7986148,144.9400706
"Haines St   North Melbourne   Melbourne",-37.7985443,144.9466906
"Macaulay Road   North Melbourne   Melbourne",-37.7967076,144.9402483
"Provost Street   North Melbourne   Melbourne",-37.8019806,144.9469743
"Langford Street   North Melbourne   Melbourne",-37.797588,144.9369667
"Little Curzon Street   North Melbourne   Melbourne",-37.8045804,144.9483325
"Bayles Street   Parkville   Melbourne",-37.7944019,144.9566834
